
移动,104.22.36.164,34 MB,4417 kB/s,210 毫秒,LAX,2024-09-29 22:23:22
移动,104.19.251.210,1 MB,207 kB/s,211 毫秒,SJC,2024-09-29 22:23:22
移动,104.20.230.220,33 MB,4254 kB/s,211 毫秒,LAX,2024-09-29 22:23:22
移动,104.16.114.202,32 MB,4131 kB/s,212 毫秒,SJC,2024-09-29 22:23:22
移动,104.16.124.207,26 MB,3389 kB/s,213 毫秒,SJC,2024-09-29 22:28:04
联通,104.19.74.226,32 MB,4211 kB/s,226 毫秒,LAX,2024-09-29 22:21:30
联通,104.22.68.222,31 MB,4049 kB/s,232 毫秒,LAX,2024-09-29 22:21:30
联通,104.26.6.225,29 MB,3786 kB/s,239 毫秒,HKG,2024-09-29 22:21:30
联通,104.19.115.34,33 MB,4296 kB/s,240 毫秒,LAX,2024-09-29 22:21:30
联通,104.24.69.249,36 MB,4663 kB/s,242 毫秒,LAX,2024-09-29 22:18:48
电信,104.19.7.58,25 MB,3276 kB/s,165 毫秒,SJC,2024-09-29 22:28:04
电信,104.19.18.82,27 MB,3537 kB/s,179 毫秒,SJC,2024-09-29 22:28:04
电信,104.19.24.222,26 MB,3421 kB/s,179 毫秒,SJC,2024-09-29 22:23:59
电信,104.19.114.174,33 MB,4316 kB/s,180 毫秒,SJC,2024-09-29 22:24:06
电信,162.159.240.45,30 MB,3843 kB/s,181 毫秒,LAX,2024-09-29 22:24:06
国内,104.17.102.75,23 MB,2998 kB/s,135 毫秒,HKG,2024-09-29 04:34:27
国内,104.17.72.114,34 MB,4464 kB/s,181 毫秒,SJC,2024-09-28 23:27:50
国内,104.18.158.85,28 MB,3613 kB/s,181 毫秒,SJC,2024-09-29 03:25:19
国内,104.19.216.159,29 MB,3812 kB/s,181 毫秒,SJC,2024-09-29 08:19:23
国内,104.19.168.63,29 MB,3734 kB/s,184 毫秒,SJC,2024-09-29 06:11:38
