线路名称,优选地址,网络带宽,峰值速度,往返延迟,数据中心,更新时间
移动,104.17.239.150,29 MB,3813 kB/s,171 毫秒,SEA,2025-04-25 05:04:54
移动,104.16.62.235,28 MB,3647 kB/s,171 毫秒,SEA,2025-04-25 05:18:40
移动,172.67.157.21,29 MB,3719 kB/s,159 毫秒,SEA,2025-04-25 05:11:40
移动,104.19.174.253,29 MB,3772 kB/s,168 毫秒,SEA,2025-04-25 05:11:40
移动,104.18.189.12,31 MB,3997 kB/s,185 毫秒,SEA,2025-04-25 05:07:12
联通,104.16.174.171,31 MB,4066 kB/s,163 毫秒,SJC,2025-04-25 05:16:26
联通,104.17.222.4,28 MB,3609 kB/s,154 毫秒,SJC,2025-04-25 05:11:04
联通,104.17.205.90,29 MB,3716 kB/s,156 毫秒,SJC,2025-04-25 05:05:16
联通,104.17.61.47,33 MB,4276 kB/s,148 毫秒,SJC,2025-04-25 05:04:55
联通,104.17.15.69,27 MB,3529 kB/s,150 毫秒,SJC,2025-04-25 05:11:04
电信,172.64.38.130,27 MB,3498 kB/s,166 毫秒,SJC,2025-04-25 05:08:55
电信,172.64.33.196,28 MB,3709 kB/s,173 毫秒,SJC,2025-04-25 05:16:11
电信,172.64.147.49,28 MB,3600 kB/s,167 毫秒,SJC,2025-04-25 05:14:57
电信,104.16.206.111,28 MB,3585 kB/s,168 毫秒,SJC,2025-04-25 05:14:57
电信,104.18.206.140,27 MB,3560 kB/s,166 毫秒,SJC,2025-04-25 05:14:57
