104.17.219.166#HKG2
104.17.157.68#HKG3
104.16.192.109#HKG4
172.64.158.207#HKG5
104.17.144.188#HKG6
104.27.110.178#LAX7
172.64.128.242#LAX8
172.67.223.237#LAX9
104.25.85.22#LAX10
104.20.155.215#LAX11
172.64.139.126#SJC12
104.19.244.57#LAX13
104.19.248.121#LAX14
104.19.251.149#LAX15
104.19.141.21#LAX16
移动#92 毫秒17
移动#109 毫秒18
移动#136 毫秒19
移动#140 毫秒20
移动#141 毫秒21
联通#197 毫秒22
联通#199 毫秒23
联通#200 毫秒24
联通#202 毫秒25
联通#203 毫秒26
电信#154 毫秒27
电信#159 毫秒28
电信#159 毫秒29
电信#159 毫秒30
电信#162 毫秒31
移动#209 毫秒32
移动#210 毫秒33
移动#210 毫秒34
移动#211 毫秒35
移动#211 毫秒36
联通#195 毫秒37
联通#196 毫秒38
联通#196 毫秒39
联通#196 毫秒40
联通#197 毫秒41
电信#156 毫秒42
电信#160 毫秒43
电信#161 毫秒44
电信#163 毫秒45
电信#163 毫秒46
移动#209 毫秒47
移动#210 毫秒48
移动#210 毫秒49
移动#211 毫秒50
移动#211 毫秒51
联通#182 毫秒52
联通#196 毫秒53
联通#196 毫秒54
联通#196 毫秒55
联通#198 毫秒56
电信#153 毫秒57
电信#160 毫秒58
电信#164 毫秒59
电信#165 毫秒60
电信#167 毫秒61
移动#209 毫秒62
移动#210 毫秒63
移动#210 毫秒64
移动#211 毫秒65
移动#211 毫秒66
联通#182 毫秒67
联通#196 毫秒68
联通#196 毫秒69
联通#196 毫秒70
联通#198 毫秒71
电信#153 毫秒72
电信#160 毫秒73
电信#164 毫秒74
电信#165 毫秒75
电信#167 毫秒76
